iter	Passed	Remaining
794	44474	11468
795	44528	11411
796	44584	11355
797	44636	11298
798	44692	11242
799	44745	11186
800	44794	11128
801	44848	11072
802	44902	11015
803	44959	10960
804	45010	10903
805	45065	10846
806	45115	10789
807	45169	10733
808	45220	10676
809	45272	10619
810	45326	10563
811	45380	10506
812	45435	10450
813	45489	10394
814	45540	10337
815	45600	10282
816	45652	10225
817	45705	10169
818	45755	10111
819	45808	10055
820	45863	9999
821	45916	9943
822	45970	9886
823	46025	9830
824	46080	9774
825	46135	9718
826	46188	9662
827	46241	9605
828	46297	9549
829	46351	9493
830	46406	9437
831	46455	9380
832	46515	9325
833	46675	9290
834	46729	9234
835	46781	9177
836	46835	9120
837	46892	9065
838	46940	9007
839	46991	8950
840	47047	8894
841	47105	8839
842	47157	8782
843	47207	8725
844	47260	8669
845	47316	8613
846	47367	8556
847	47418	8499
848	47472	8443
849	47523	8386
850	47579	8330
851	47629	8273
852	47684	8217
853	47739	8161
854	47791	8105
855	47845	8048
856	47897	7992
857	47951	7936
858	48002	7879
859	48052	7822
860	48103	7765
861	48155	7709
862	48206	7652
863	48263	7597
864	48318	7540
865	48371	7484
866	48425	7428
867	48476	7372
868	48530	7315
869	48585	7259
870	48637	7203
871	48691	7147
872	48746	7091
873	48797	7034
874	48850	6978
875	48901	6922
876	48951	6865
877	49008	6809
878	49061	6753
879	49115	6697
880	49168	6641
881	49223	6585
882	49277	6529
883	49333	6473
884	49383	6417
885	49435	6360
886	49486	6304
887	49542	6248
888	49594	6192
889	49646	6136
890	49701	6080
891	49752	6023
892	49805	5967
893	49870	5913
894	49934	5858
895	50001	5803
896	50066	5749
897	50132	5694
898	50192	5638
899	50260	5584
900	50320	5529
901	50377	5473
902	50432	5417
903	50486	5361
904	50542	5305
905	50595	5249
906	50646	5193
907	50706	5137
908	50759	5081
909	50811	5025
910	50875	4970
911	50942	4915
912	51016	4861
913	51091	4807
914	51153	4751
915	51236	4698
916	51292	4642
917	51346	4586
918	51409	4531
919	51471	4475
920	51526	4419
921	51584	4364
922	51649	4308
923	51710	4253
924	51772	4197
925	51828	4141
926	51890	4086
927	51949	4030
928	52002	3974
929	52056	3918
930	52117	3862
931	52176	3806
932	52231	3750
933	52289	3694
934	52349	3639
935	52409	3583
936	52467	3527
937	52522	3471
938	52582	3415
939	52635	3359
940	52693	3303
941	52749	3247
942	52808	3192
943	52866	3136
944	52924	3080
945	52985	3024
946	53040	2968
947	53103	2912
948	53161	2856
949	53216	2800
950	53272	2744
951	53324	2688
952	53382	2632
953	53437	2576
954	53496	2520
955	53560	2465
956	53617	2409
957	53673	2353
958	53727	2297
959	53784	2241
960	53841	2185
961	53897	2129
962	53952	2072
963	54009	2016
964	54063	1960
965	54123	1904
966	54179	1848
967	54239	1793
968	54295	1737
969	54353	1681
970	54411	1625
971	54468	1569
972	54522	1512
973	54577	1456
974	54639	1401
975	54695	1344
976	54749	1288
977	54804	1232
978	54858	1176
979	54915	1120
980	54971	1064
981	55026	1008
982	55080	952
983	55139	896
984	55195	840
985	55250	784
986	55306	728
987	55362	672
988	55421	616
989	55477	560
990	55542	504
991	55602	448
992	55658	392
993	55712	336
994	55770	280
995	55829	224
996	55883	168
997	55940	112
998	56002	56
999	56055	0
